epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9792,1.69471,2.51759,1.26886,0.53989,0.51104,0.50584,0.28013,1.46242,1.36091,1.13314,0.07015,0.00331667,0.00331667
2,57.7639,1.50809,1.38174,1.14037,0.57741,0.59096,0.57783,0.3225,1.39775,1.21258,1.09741,0.0400403,0.00654028,0.00654028
3,85.2925,1.5303,1.35099,1.13835,0.61291,0.51576,0.55229,0.29542,1.44171,1.55535,1.11065,0.00982055,0.00965388,0.00965388
4,112.603,1.52999,1.36023,1.11904,0.61886,0.53129,0.57753,0.29445,1.47274,1.58357,1.15767,0.009505,0.009505,0.009505
5,139.917,1.51296,1.20797,1.14168,0.57712,0.5069,0.52648,0.28032,1.55477,1.25553,1.19022,0.00934,0.00934,0.00934
6,167.199,1.48755,1.17641,1.13189,0.71851,0.56403,0.65507,0.35803,1.41757,1.08689,1.13888,0.009175,0.009175,0.009175
7,194.519,1.51361,1.12114,1.14053,0.70956,0.60939,0.65703,0.37024,1.44674,1.09542,1.12116,0.00901,0.00901,0.00901
8,221.909,1.49071,1.1112,1.13818,0.6722,0.61395,0.64767,0.35796,1.47906,1.09717,1.14363,0.008845,0.008845,0.008845
9,249.197,1.46669,1.08499,1.12909,0.62014,0.59222,0.62859,0.33691,1.47951,1.11984,1.14921,0.00868,0.00868,0.00868
10,276.504,1.46862,1.09199,1.13581,0.6639,0.62424,0.65242,0.36493,1.43174,1.07136,1.12151,0.008515,0.008515,0.008515
11,303.872,1.4368,1.02883,1.11216,0.72043,0.59416,0.66095,0.37105,1.44503,1.02391,1.13074,0.00835,0.00835,0.00835
12,331.116,1.45386,0.9994,1.11711,0.65148,0.65543,0.6564,0.37202,1.43074,1.04042,1.12796,0.008185,0.008185,0.008185
13,358.444,1.41697,0.97674,1.09195,0.7211,0.5973,0.66464,0.37763,1.38876,1.04273,1.11823,0.00802,0.00802,0.00802
14,385.673,1.3899,0.95605,1.09074,0.65338,0.64164,0.66045,0.36621,1.42926,1.0627,1.13567,0.007855,0.007855,0.007855
15,412.943,1.39188,0.97523,1.10215,0.68208,0.65553,0.67927,0.39213,1.39269,1.00848,1.11303,0.00769,0.00769,0.00769
16,440.351,1.35216,0.95393,1.08266,0.67842,0.61234,0.65992,0.37205,1.41781,1.05785,1.12954,0.007525,0.007525,0.007525
17,467.696,1.3829,0.93585,1.09143,0.70084,0.6694,0.69249,0.39077,1.40484,0.98736,1.13424,0.00736,0.00736,0.00736
18,494.946,1.35177,0.93122,1.07917,0.68613,0.66668,0.67063,0.37684,1.39383,1.02638,1.12304,0.007195,0.007195,0.007195
19,522.24,1.37183,0.91295,1.09234,0.74552,0.68109,0.71099,0.39415,1.4166,0.99377,1.11489,0.00703,0.00703,0.00703
20,549.53,1.35485,0.89396,1.0738,0.73705,0.66428,0.71605,0.40324,1.38599,0.97378,1.11585,0.006865,0.006865,0.006865
21,576.892,1.33694,0.89078,1.06785,0.76307,0.64691,0.71661,0.40865,1.4008,0.97172,1.10847,0.0067,0.0067,0.0067
22,604.191,1.33596,0.8706,1.05996,0.68582,0.66715,0.69566,0.39488,1.40485,0.98265,1.11607,0.006535,0.006535,0.006535
23,631.482,1.32273,0.86333,1.06231,0.75435,0.65147,0.71448,0.41357,1.35432,0.95847,1.09546,0.00637,0.00637,0.00637
24,658.898,1.33601,0.86841,1.06079,0.72165,0.68345,0.71759,0.40934,1.36174,0.93741,1.09195,0.006205,0.006205,0.006205
25,686.225,1.28995,0.83974,1.0442,0.72642,0.70567,0.71644,0.40134,1.39714,0.95054,1.11622,0.00604,0.00604,0.00604
26,713.514,1.29625,0.84391,1.05082,0.73213,0.68197,0.71094,0.39806,1.36021,0.9587,1.10143,0.005875,0.005875,0.005875
27,740.876,1.29009,0.81583,1.04266,0.73742,0.69152,0.71966,0.4153,1.37536,0.91521,1.10806,0.00571,0.00571,0.00571
28,768.239,1.28112,0.81469,1.04177,0.75809,0.68823,0.73398,0.42628,1.36136,0.9198,1.09899,0.005545,0.005545,0.005545
29,795.605,1.26737,0.81014,1.03432,0.79586,0.6579,0.72831,0.41996,1.3786,0.91574,1.09598,0.00538,0.00538,0.00538
30,822.875,1.25213,0.79037,1.0358,0.71382,0.67276,0.71189,0.40837,1.36355,0.93909,1.10074,0.005215,0.005215,0.005215
31,850.176,1.24755,0.78626,1.03907,0.76266,0.66437,0.72923,0.4219,1.36725,0.92603,1.10356,0.00505,0.00505,0.00505
32,877.464,1.25457,0.79915,1.02647,0.69255,0.70113,0.72664,0.41521,1.37274,0.91738,1.11434,0.004885,0.004885,0.004885
33,904.786,1.22729,0.77662,1.02386,0.71303,0.72428,0.74228,0.43066,1.35638,0.90407,1.10042,0.00472,0.00472,0.00472
34,932.046,1.21608,0.76003,1.00924,0.69306,0.72047,0.74047,0.43251,1.36032,0.89627,1.09946,0.004555,0.004555,0.004555
35,959.365,1.2126,0.76375,1.01102,0.69677,0.72619,0.72815,0.42028,1.38913,0.91497,1.12308,0.00439,0.00439,0.00439
36,986.666,1.2328,0.76118,1.01512,0.749,0.68349,0.72563,0.42921,1.37064,0.90617,1.10476,0.004225,0.004225,0.004225
37,1013.96,1.21312,0.75074,1.01157,0.72297,0.70726,0.73205,0.42214,1.36592,0.90433,1.10007,0.00406,0.00406,0.00406
38,1041.31,1.17919,0.7266,0.9948,0.70926,0.73412,0.73334,0.42398,1.35016,0.89333,1.09215,0.003895,0.003895,0.003895
39,1068.62,1.19426,0.72248,1.00015,0.74844,0.71606,0.75201,0.43633,1.35025,0.884,1.0984,0.00373,0.00373,0.00373
40,1095.92,1.19002,0.72126,1.00354,0.76123,0.70805,0.75649,0.44635,1.34331,0.88343,1.09086,0.003565,0.003565,0.003565
41,1123.39,1.18618,0.71831,0.98932,0.72096,0.7464,0.75163,0.43877,1.35227,0.88615,1.09882,0.0034,0.0034,0.0034
42,1150.66,1.17252,0.70017,0.99441,0.78128,0.67002,0.73931,0.43572,1.34665,0.91509,1.09165,0.003235,0.003235,0.003235
43,1178.03,1.15984,0.69684,0.98769,0.74523,0.7182,0.74724,0.43623,1.34751,0.88815,1.09129,0.00307,0.00307,0.00307
44,1205.39,1.15157,0.69095,0.98052,0.73419,0.74505,0.7486,0.43633,1.34457,0.87858,1.0923,0.002905,0.002905,0.002905
45,1232.75,1.12949,0.67384,0.98,0.76586,0.69843,0.76552,0.45916,1.34534,0.87923,1.08963,0.00274,0.00274,0.00274
46,1262.26,1.13469,0.68199,0.98149,0.76159,0.71386,0.77441,0.45714,1.33963,0.85719,1.08434,0.002575,0.002575,0.002575
47,1291.03,1.1318,0.67097,0.98158,0.79145,0.69443,0.76687,0.45945,1.34978,0.86632,1.09761,0.00241,0.00241,0.00241
48,1319.74,1.12422,0.66091,0.97509,0.7412,0.72436,0.76497,0.45565,1.34806,0.86784,1.09495,0.002245,0.002245,0.002245
49,1348.53,1.09906,0.65141,0.96214,0.7612,0.71228,0.7565,0.45335,1.3438,0.86514,1.08375,0.00208,0.00208,0.00208
50,1377.23,1.09288,0.64178,0.96524,0.77053,0.73395,0.77894,0.46108,1.34524,0.85705,1.09715,0.001915,0.001915,0.001915
51,1414.94,1.06389,0.61341,0.95145,0.77201,0.68934,0.73891,0.43794,1.35881,0.88393,1.11801,0.00175,0.00175,0.00175
52,1443.32,1.07185,0.6007,0.95002,0.78014,0.70509,0.75807,0.43879,1.36784,0.86894,1.11279,0.001585,0.001585,0.001585
53,1471.72,1.05515,0.59957,0.95149,0.76727,0.72193,0.74847,0.43741,1.34513,0.86951,1.11071,0.00142,0.00142,0.00142
54,1500.04,1.04512,0.58465,0.94789,0.76388,0.71382,0.75149,0.4396,1.35145,0.8732,1.10945,0.001255,0.001255,0.001255
55,1528.36,1.04597,0.57694,0.94503,0.75747,0.70477,0.75657,0.44366,1.34656,0.87845,1.11235,0.00109,0.00109,0.00109
56,1556.79,1.01701,0.56596,0.93575,0.75968,0.74467,0.76226,0.44604,1.34953,0.86532,1.11037,0.000925,0.000925,0.000925
57,1585.18,1.02128,0.56168,0.94041,0.74997,0.73173,0.76938,0.45288,1.35303,0.86476,1.10904,0.00076,0.00076,0.00076
58,1613.63,1.00571,0.55022,0.92675,0.7655,0.70995,0.75913,0.45145,1.35221,0.87153,1.11163,0.000595,0.000595,0.000595
59,1641.98,0.9992,0.54097,0.9322,0.75728,0.73929,0.76688,0.45048,1.35533,0.8822,1.11512,0.00043,0.00043,0.00043
60,1670.33,0.98979,0.53682,0.92623,0.76645,0.72071,0.77144,0.45633,1.34806,0.86423,1.11264,0.000265,0.000265,0.000265
